date,snow_height
2009-11-25 12:00,0
2010-01-23 13:00,0.53
2010-03-25 15:00,0.28
2010-04-10 15:00,0
2011-03-31 20:00,0
2012-02-01 12:00,0.573
2012-03-27 07:00,0
2013-02-05 12:00,0.52
2013-04-29 08:00,0
2014-01-08 16:00,0.38
2014-03-07 17:00,0.65
2014-04-06 11:00,0
2015-02-13 16:00,0.32
2015-04-29 23:00,0
2016-01-27 14:00,0.13
2016-04-01 04:00,0
